id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1352095836218355717	1352095836218355717	2021-01-20 21:29:02 CST	2021-01-20	21:29:02	-0600	20609518	dalailama	Dalai Lama		I offer my profound congratulations to Joe Biden on becoming President of the United States of America. I am so pleased that he is giving high priority to the urgent issue of climate change. I pray for his success in meeting the challenges that lie ahead.  https://t.co/6NPbf8f0mQ	en	[]	['https://bit.ly/3p5tAEy']	[]	451	6936	47024	[]	[]	https://twitter.com/DalaiLama/status/1352095836218355717	False		0								[]				
1350027504845680642	1350027504845680642	2021-01-15 04:30:14 CST	2021-01-15	04:30:14	-0600	20609518	dalailama	Dalai Lama		Peace is not brought about through conflict, but through compassion — creating peace of mind within ourselves. We all need compassion and women can take a lead role in bringing this about. My own first teacher of kindness and compassion was my mother.	en	[]	[]	[]	399	5804	25461	[]	[]	https://twitter.com/DalaiLama/status/1350027504845680642	False		0								[]				
1349287783102234628	1349287783102234628	2021-01-13 03:30:50 CST	2021-01-13	03:30:50	-0600	20609518	dalailama	Dalai Lama		Watch Live: HHDL joins Harvard Business School professor and columnist Arthur Brooks for an online conversation on “Leadership and Happiness” followed by student’s questions, from his residence in India on January 17th at 9am IST (Jan 16th 10:30pm EST).  https://t.co/xaPTxTZeOd  https://t.co/X0tdHCygd1	en	[]	['https://youtu.be/BsJzrjKj4ps']	['https://pbs.twimg.com/media/ErmiCtjVkAIYjcw.jpg']	78	622	3504	[]	[]	https://twitter.com/DalaiLama/status/1349287783102234628	False		1	https://pbs.twimg.com/media/ErmiCtjVkAIYjcw.jpg							[]				
1348577905371082752	1348577905371082752	2021-01-11 04:30:02 CST	2021-01-11	04:30:02	-0600	20609518	dalailama	Dalai Lama		I regard a compassionate, warm, kindhearted person as healthy. If you maintain a feeling of compassion, loving kindness, something automatically opens your inner door, through which you can communicate much more easily with other people — you'll find that they are just like you.	en	[]	[]	[]	343	6381	27632	[]	[]	https://twitter.com/DalaiLama/status/1348577905371082752	False		0								[]				
1347903872430268434	1347903872430268434	2021-01-09 07:51:40 CST	2021-01-09	07:51:40	-0600	20609518	dalailama	Dalai Lama		Watch Live - HHDL in  conversation with Greta Thunberg and leading scientists on the Climate Crisis of Feedback Loops on Jan 10th at 9am Indian Standard Time (Jan 9th 10:30pm EST).  https://t.co/cowTiKnH9w  https://t.co/r8FBlwpl1w	en	[]	['https://www.dalailama.com/live']	['https://pbs.twimg.com/media/ErS3VN7UUAY-Unv.jpg']	342	2839	16977	[]	[]	https://twitter.com/DalaiLama/status/1347903872430268434	False		1	https://pbs.twimg.com/media/ErS3VN7UUAY-Unv.jpg							[]				
1347495850759528451	1347495850759528451	2021-01-08 04:50:20 CST	2021-01-08	04:50:20	-0600	20609518	dalailama	Dalai Lama		Patience doesn’t arise spontaneously, we have to make an effort and familiarize ourselves with it. What’s more, it’s those hostile to us rather than our friends who teach us patience.	en	[]	[]	[]	327	6543	27874	[]	[]	https://twitter.com/DalaiLama/status/1347495850759528451	False		0								[]				
1345678701078355968	1345678701078355968	2021-01-03 04:29:38 CST	2021-01-03	04:29:38	-0600	20609518	dalailama	Dalai Lama		Our Only Home - HHDL declares that this planet is our only home so we must take steps to stem global warming. He’s keen in his support for young peoples’ efforts to raise awareness of the climate crisis.  https://t.co/4qLm2QKLdi	en	[]	['https://youtu.be/j1tSdMMy30g']	[]	197	1823	9042	[]	[]	https://twitter.com/DalaiLama/status/1345678701078355968	False		0								[]				
1344803042105851908	1344803042105851908	2020-12-31 18:30:05 CST	2020-12-31	18:30:05	-0600	20609518	dalailama	Dalai Lama		HHDL’s New Year Greeting for 2021.  https://t.co/I4i3hLQLjm	en	[]	['https://youtu.be/1AO761HHT74']	[]	290	1501	8355	[]	[]	https://twitter.com/DalaiLama/status/1344803042105851908	False		0								[]				
1343851776680685570	1343851776680685570	2020-12-29 03:30:05 CST	2020-12-29	03:30:05	-0600	20609518	dalailama	Dalai Lama		Wherever I go, I try to cultivate a sense of the oneness of humanity. I see everyone I meet as being essentially the same. And people respond positively to this. Animals too. Fear leads to isolation, so it's helpful to be open to others.	en	[]	[]	[]	385	5426	28767	[]	[]	https://twitter.com/DalaiLama/status/1343851776680685570	False		0								[]				
1342405736697974784	1342405736697974784	2020-12-25 03:44:02 CST	2020-12-25	03:44:02	-0600	20609518	dalailama	Dalai Lama		We must find secular ways to cultivate warm-heartedness — to educate ourselves about inner values. The source of a happy life is within us. Troublemakers in many parts of the world are often well educated, so it’s not just education we need. We must pay attention to inner values.	en	[]	[]	[]	578	9204	40949	[]	[]	https://twitter.com/DalaiLama/status/1342405736697974784	False		0								[]				
1340952728072192001	1340952728072192001	2020-12-21 03:30:18 CST	2020-12-21	03:30:18	-0600	20609518	dalailama	Dalai Lama		Infants, even before they can talk, show a preference for examples of helpful behaviour and turn away from illustrations of harm. The conclusion is that basic human nature is positive and kind. Therefore, cultivating warm-heartedness and compassion is something we can all do.	en	[]	[]	[]	316	5413	27316	[]	[]	https://twitter.com/DalaiLama/status/1340952728072192001	False		0								[]				
1340227918740353024	1340227918740353024	2020-12-19 03:30:10 CST	2020-12-19	03:30:10	-0600	20609518	dalailama	Dalai Lama		Under a bright blue sky HHDL trains his binoculars on the snow-capped peaks behind his residence in Dharamsala, HP, India on December 19, 2020. (Photo by Tenzin Jamphel)  https://t.co/SupTlLb0al	en	[]	[]	['https://pbs.twimg.com/media/EplxWEzVoAAAs9G.jpg']	373	1656	21826	[]	[]	https://twitter.com/DalaiLama/status/1340227918740353024	False		1	https://pbs.twimg.com/media/EplxWEzVoAAAs9G.jpg							[]				
1339865537271136256	1339865537271136256	2020-12-18 03:30:12 CST	2020-12-18	03:30:12	-0600	20609518	dalailama	Dalai Lama		If those of you who are young today are going to fulfil a vision for a happier, more peaceful future in this world, you need to learn to live each day in a more meaningful way. You need to sharpen your human intelligence through study, but you also need to develop a warm heart.	en	[]	[]	[]	365	7218	32075	[]	[]	https://twitter.com/DalaiLama/status/1339865537271136256	False		0								[]				
1338416101596655617	1338416101596655617	2020-12-14 03:30:39 CST	2020-12-14	03:30:39	-0600	20609518	dalailama	Dalai Lama		We must learn that humanity is one big family. We’re all brothers and sisters: physically, mentally and emotionally the same. But we still focus far too much on differences instead of what we have in common. After all, every one of us is born the same way and dies the same way.	en	[]	[]	[]	498	8539	36074	[]	[]	https://twitter.com/DalaiLama/status/1338416101596655617	False		0								[]				
1337328531571761153	1337328531571761153	2020-12-11 03:29:02 CST	2020-12-11	03:29:02	-0600	20609518	dalailama	Dalai Lama		We can no longer keep exploiting the resources of this earth-the trees, the water and the minerals-without any care for the coming generations. It is common sense that we cannot survive if we keep working against nature. We must learn to live in harmony with nature.	en	[]	[]	[]	561	9890	42917	[]	[]	https://twitter.com/DalaiLama/status/1337328531571761153	False		0								[]				
1335879536265740289	1335879536265740289	2020-12-07 03:31:15 CST	2020-12-07	03:31:15	-0600	20609518	dalailama	Dalai Lama		Modern science doesn’t include a deep understanding of the workings of mind and emotions, but some scientists are showing an interest in finding out. We need to cultivate emotional hygiene — learning how to reduce anger, anxiety and fear. The key is to cultivate peace of mind.	en	[]	[]	[]	480	5941	30363	[]	[]	https://twitter.com/DalaiLama/status/1335879536265740289	False		0								[]				
1334806737182892032	1334806737182892032	2020-12-04 04:28:20 CST	2020-12-04	04:28:20	-0600	20609518	dalailama	Dalai Lama		I’d like to congratulate Ranjitsinh Disale on being named the world's most exceptional teacher and to express my admiration for his generosity in sharing half the prize money with runners up in the competition. He has set an example of compassion in action  https://t.co/ZqYrbP35ur	en	[]	['https://bit.ly/3mHFG5A']	[]	136	1198	8778	[]	[]	https://twitter.com/DalaiLama/status/1334806737182892032	False		0								[]				
1333343383536902145	1333343383536902145	2020-11-30 03:33:29 CST	2020-11-30	03:33:29	-0600	20609518	dalailama	Dalai Lama		We can learn how to cultivate peace of mind. Then, we can apply our intelligence to extend a compassionate attitude on an individual, family, community and global level. It’s our nature to be compassionate, so education can teach us to appreciate that we’re brothers and sisters.	en	[]	[]	[]	292	4372	20272	[]	[]	https://twitter.com/DalaiLama/status/1333343383536902145	False		0								[]				
1332271562959904768	1332271562959904768	2020-11-27 04:34:27 CST	2020-11-27	04:34:27	-0600	20609518	dalailama	Dalai Lama		My dedication is to serve the 7 billion human beings on this planet and the other creatures with whom we share it. If you can, help and serve others, but if you can’t at least don’t harm them; then in the end you will feel no regret.	en	[]	[]	[]	458	5759	31484	[]	[]	https://twitter.com/DalaiLama/status/1332271562959904768	False		0								[]				
1330806237542301696	1330806237542301696	2020-11-23 03:31:46 CST	2020-11-23	03:31:46	-0600	20609518	dalailama	Dalai Lama		Just as we teach children to observe physical hygiene for its benefits to our health, we need to teach them to cultivate emotional hygiene. They need to learn how to tackle their destructive emotions and achieve peace of mind.	en	[]	[]	[]	379	7761	39859	[]	[]	https://twitter.com/DalaiLama/status/1330806237542301696	False		0								[]				
